Date,Tmax,Tmin,Tavg,Prcp,Wspd,Wdir,Estacion,Provincia
,28.8,23.7,26.0,4.8,20.1,,La Cabaña,Bocas del Toro
,28.9,24.5,25.8,14.2,22.6,,La Cabaña,Bocas del Toro
,27.2,24.0,25.0,15.5,19.9,,La Cabaña,Bocas del Toro
,28.4,23.6,25.6,4.3,19.5,,La Cabaña,Bocas del Toro
,28.4,23.9,25.8,10.5,17.9,,La Cabaña,Bocas del Toro
,29.1,24.0,26.0,10.3,18.3,,La Cabaña,Bocas del Toro
,28.5,23.5,25.2,42.3,19.8,,La Cabaña,Bocas del Toro
,26.1,22.7,24.2,29.6,19.0,,La Cabaña,Bocas del Toro
,25.8,22.3,23.9,37.2,23.7,,La Cabaña,Bocas del Toro
,27.6,22.5,24.4,42.3,23.8,,La Cabaña,Bocas del Toro
,27.6,22.6,24.6,4.7,16.2,,La Cabaña,Bocas del Toro
,26.6,22.8,24.2,17.9,16.7,,La Cabaña,Bocas del Toro
,29.0,22.1,24.9,4.4,14.2,,La Cabaña,Bocas del Toro
,27.7,22.2,24.5,5.1,15.8,,La Cabaña,Bocas del Toro
,29.2,22.7,25.0,14.5,14.3,,La Cabaña,Bocas del Toro
,29.5,24.1,26.3,0.0,11.8,,La Cabaña,Bocas del Toro
,29.5,24.1,26.3,0.0,11.8,,La Cabaña,Bocas del Toro
,29.5,24.1,26.3,0.0,11.8,,La Cabaña,Bocas del Toro
,29.5,24.1,26.3,0.0,11.8,,La Cabaña,Bocas del Toro
,29.1,22.1,25.1,0.8,14.0,,La Cabaña,Bocas del Toro
,28.9,21.5,25.1,0.5,14.7,,La Cabaña,Bocas del Toro
,28.1,23.1,25.4,2.2,17.4,,La Cabaña,Bocas del Toro
,27.8,23.2,25.3,2.1,12.3,,La Cabaña,Bocas del Toro
,29.2,23.8,26.0,1.6,15.0,,La Cabaña,Bocas del Toro
,27.6,23.8,25.1,15.0,19.6,,La Cabaña,Bocas del Toro
,27.1,23.3,24.7,6.2,20.5,,La Cabaña,Bocas del Toro
,26.8,22.7,24.3,36.9,17.3,,La Cabaña,Bocas del Toro
,27.6,22.7,24.7,8.7,23.7,,La Cabaña,Bocas del Toro
,26.8,23.0,24.6,18.3,19.2,,La Cabaña,Bocas del Toro
,28.2,23.1,25.0,11.0,21.3,,La Cabaña,Bocas del Toro
,25.8,23.2,24.4,24.1,18.2,,La Cabaña,Bocas del Toro
